billID,title
hr1013-114,Trade restrictions
hr1014-114,Alternative treatments
hr1014-114,Civil actions and liability
hr1014-114,Drug trafficking and controlled substances
hr1014-114,Government studies and investigations
hr1014-114,Licensing and registrations
hr1014-114,Sales and excise taxes
hr1014-114,"Tax administration and collection, taxpayers"
hr1014-114,Taxation
hr1015-114,Armed forces and national security
hr1015-114,Congressional oversight
hr1015-114,Disability and paralysis
hr1015-114,Fraud offenses and financial crimes
hr1015-114,Public contracts and procurement
hr1015-114,Small business
hr1015-114,"Veterans' education, employment, rehabilitation"
hr1016-114,Armed forces and national security
hr1016-114,Business records
hr1016-114,Cell biology and embryology
hr1016-114,Congressional oversight
hr1016-114,Department of Veterans Affairs
hr1016-114,"Drug safety, medical device, and laboratory regulation"
hr1016-114,"Government ethics and transparency, public corruption"
hr1016-114,Health information and medical records
hr1016-114,"Health technology, devices, supplies"
hr1016-114,Licensing and registrations
hr1016-114,Organ and tissue donation and transplantation
hr1016-114,Product safety and quality
hr1016-114,Public contracts and procurement
hr1016-114,Veterans' medical care
hr1017-114,Advanced technology and technological innovations
hr1017-114,Armed forces and national security
hr1017-114,Computer security and identity theft
hr1017-114,Computers and information technology
hr1017-114,Department of Veterans Affairs
hr1017-114,Federal officials
hr1017-114,Government information and archives
hr1017-114,Health information and medical records
hr1017-114,Internet and video services
hr1017-114,Right of privacy
hr1017-114,Veterans' medical care
hr1018-114,Health
hr1018-114,"Health technology, devices, supplies"
hr1018-114,Medicare
hr1018-114,Public contracts and procurement
hr1019-114,Asia
hr1019-114,Employment discrimination and employee rights
hr1019-114,Foreign labor
hr1019-114,Immigration
hr1019-114,South Korea
hr1019-114,Visas and passports
hr102-114,Business ethics
hr102-114,Corporate finance and management
hr102-114,Crime and law enforcement
hr102-114,Criminal justice information and records
hr102-114,Government information and archives
hr1020-114,Computers and information technology
hr1020-114,Education
hr1020-114,Education programs funding
hr1020-114,Elementary and secondary education
hr1020-114,Higher education
hr1020-114,Research administration and funding
hr1020-114,Research and development
hr1020-114,Science and engineering education
hr1020-114,Student aid and college costs
hr1020-114,"Teaching, teachers, curricula"
hr1021-114,Accounting and auditing
hr1021-114,Administrative law and regulatory procedures
hr1021-114,Administrative remedies
hr1021-114,Alternative treatments
hr1021-114,Congressional oversight
hr1021-114,Consumer affairs
hr1021-114,Crime prevention
hr1021-114,Criminal justice information and records
hr1021-114,Delaware
hr1021-114,Department of Health and Human Services
hr1021-114,District of Columbia
hr1021-114,Drug trafficking and controlled substances
hr1021-114,"Drug, alcohol, tobacco use"
hr1021-114,Fraud offenses and financial crimes
hr1021-114,Government information and archives
hr1021-114,Government studies and investigations
hr1021-114,Health
hr1021-114,Health care costs and insurance
hr1021-114,Health care coverage and access
hr1021-114,Health information and medical records
hr1021-114,Health programs administration and funding
hr1021-114,"Health technology, devices, supplies"
hr1021-114,Home and outpatient care
hr1021-114,Intergovernmental relations
hr1021-114,Maryland
hr1021-114,Medicaid
hr1021-114,Medicare
hr1021-114,New Jersey
hr1021-114,North Carolina
hr1021-114,Pennsylvania
hr1021-114,Performance measurement
hr1021-114,Prescription drugs
hr1021-114,Public contracts and procurement
hr1021-114,South Carolina
hr1021-114,State and local government operations
hr1021-114,Virginia
hr1021-114,West Virginia
hr1022-114,Emergency management
hr1022-114,Homeland security
hr1022-114,Law enforcement administration and funding
hr1022-114,Terrorism
hr1023-114,Business investment and capital
hr1023-114,Commerce
hr1023-114,Government lending and loan guarantees
hr1023-114,Small business
hr1024-114,Budget process
hr1024-114,Department of Homeland Security
hr1024-114,Executive agency funding and structure
hr1024-114,"Government employee pay, benefits, personnel management"
hr1024-114,Government operations and politics
hr1025-114,Agriculture and food
hr1025-114,Employment and training programs
hr1025-114,Food assistance and relief
hr1025-114,Poverty and welfare assistance
hr1026-114,"Criminal investigation, prosecution, interrogation"
hr1026-114,Department of the Treasury
hr1026-114,Employee performance
hr1026-114,Evidence and witnesses
hr1026-114,"Government ethics and transparency, public corruption"
hr1026-114,Government studies and investigations
hr1026-114,Internal Revenue Service (IRS)
hr1026-114,"Tax administration and collection, taxpayers"
hr1026-114,Taxation
hr1027-114,Administrative law and regulatory procedures
hr1027-114,Air quality
hr1027-114,Civil actions and liability
hr1027-114,Climate change and greenhouse gases
hr1027-114,Coal
hr1027-114,"Competitiveness, trade promotion, trade deficits"
hr1027-114,Environmental Protection Agency (EPA)
hr1027-114,Environmental protection
hr1027-114,Environmental regulatory procedures
hr1027-114,Government information and archives
hr1027-114,Government trust funds
hr1027-114,International law and treaties
hr1027-114,International organizations and cooperation
hr1027-114,Licensing and registrations
hr1027-114,Oil and gas
hr1027-114,Pollution liability
hr1027-114,Public contracts and procurement
hr1027-114,Tariffs
hr1027-114,User charges and fees
hr1028-114,Federal-Indian relations
hr1028-114,Hazardous wastes and toxic substances
hr1028-114,Indian lands and resources rights
hr1028-114,Land transfers
hr1028-114,Military facilities and property
hr1028-114,Native Americans
hr1028-114,New Mexico
hr1028-114,Pollution liability
hr1028-114,Roads and highways
hr1029-114,Administrative law and regulatory procedures
hr1029-114,Advisory bodies
hr1029-114,Environmental Protection Agency (EPA)
hr1029-114,"Environmental assessment, monitoring, research"
hr1029-114,Environmental protection
hr1029-114,Environmental regulatory procedures
hr1029-114,"Government ethics and transparency, public corruption"
hr1029-114,Research administration and funding
hr103-114,Crime and law enforcement
hr103-114,Crime prevention
hr103-114,"Criminal investigation, prosecution, interrogation"
hr103-114,Law enforcement administration and funding
hr103-114,Law enforcement officers
hr103-114,Lawyers and legal services
hr1030-114,Administrative law and regulatory procedures
hr1030-114,Environmental Protection Agency (EPA)
hr1030-114,"Environmental assessment, monitoring, research"
hr1030-114,Environmental protection
hr1030-114,Environmental regulatory procedures
hr1030-114,Government information and archives
hr1030-114,Research administration and funding
hr1031-114,Accounting and auditing
hr1031-114,Administrative law and regulatory procedures
hr1031-114,Advisory bodies
hr1031-114,Africa
hr1031-114,Alternative and renewable resources
hr1031-114,Arms control and nonproliferation
hr1031-114,Banking and financial institutions regulation
hr1031-114,"Competitiveness, trade promotion, trade deficits"
hr1031-114,Computers and information technology
hr1031-114,Congressional oversight
hr1031-114,Credit and credit markets
hr1031-114,Energy efficiency and conservation
hr1031-114,"Environmental assessment, monitoring, research"
hr1031-114,Environmental technology
hr1031-114,Executive agency funding and structure
hr1031-114,Export-Import Bank of the United States
hr1031-114,Federal officials
hr1031-114,Foreign trade and international finance
hr1031-114,Fraud offenses and financial crimes
hr1031-114,"Government employee pay, benefits, personnel management"
hr1031-114,"Government ethics and transparency, public corruption"
hr1031-114,Government information and archives
hr1031-114,Government lending and loan guarantees
hr1031-114,Government studies and investigations
hr1031-114,"Military assistance, sales, and agreements"
hr1031-114,Small business
hr1031-114,Technology assessment
hr1031-114,Trade agreements and negotiations
hr1031-114,User charges and fees
hr1032-114,Appropriations
hr1032-114,Congress
hr1032-114,Department of Homeland Security
hr1032-114,Executive agency funding and structure
hr1032-114,"Government employee pay, benefits, personnel management"
hr1032-114,Members of Congress
hr1033-114,Government studies and investigations
hr1033-114,Historic sites and heritage areas
hr1033-114,Ohio
hr1033-114,"Parks, recreation areas, trails"
hr1033-114,Public lands and natural resources
hr1034-114,Congressional oversight
hr1034-114,Foreign aid and international relief
hr1034-114,Government information and archives
hr1034-114,International affairs
hr1034-114,United Nations
hr1035-114,Blood and blood diseases
hr1035-114,Cancer
hr1035-114,Cardiovascular and respiratory health
hr1035-114,Disability and paralysis
hr1035-114,Disability assistance
hr1035-114,Emergency medical services and trauma care
hr1035-114,Evidence and witnesses
hr1035-114,Fires
hr1035-114,First responders and emergency personnel
hr1035-114,"Government employee pay, benefits, personnel management"
hr1035-114,Government operations and politics
hr1035-114,Hazardous wastes and toxic substances
hr1035-114,Health personnel
hr1035-114,Medical research
hr1035-114,Worker safety and health
hr1036-114,Finance and financial sector
hr1036-114,Financial crises and stabilization
hr1036-114,Government corporations and government-sponsored enterprises
hr1036-114,Government lending and loan guarantees
hr1036-114,Housing finance and home ownership
hr1036-114,"Interest, dividends, interest rates"
hr1036-114,Securities
hr1037-114,Congress
hr1037-114,Congressional officers and employees
hr1037-114,"Government ethics and transparency, public corruption"
hr1037-114,Members of Congress
hr1038-114,Armed forces and national security
hr1038-114,Department of Veterans Affairs
hr1038-114,Employee performance
hr1038-114,"Government employee pay, benefits, personnel management"
hr1038-114,"Government ethics and transparency, public corruption"
hr1038-114,Government information and archives
hr1038-114,Personnel records
hr1039-114,Africa
hr1039-114,Department of State
hr1039-114,Executive agency funding and structure
hr1039-114,Foreign aid and international relief
hr1039-114,Human rights
hr1039-114,International affairs
hr1039-114,Racial and ethnic relations
hr104-114,Administrative law and regulatory procedures
hr104-114,Business records
hr104-114,Civil actions and liability
hr104-114,Computer security and identity theft
hr104-114,Computers and information technology
hr104-114,Congressional oversight
hr104-114,Consumer affairs
hr104-114,Consumer credit
hr104-114,Criminal justice information and records
hr104-114,Government information and archives
hr104-114,Health information and medical records
hr104-114,Judicial review and appeals
hr104-114,Right of privacy
hr104-114,"Science, technology, communications"
hr1040-114,Employment taxes
hr1040-114,Income tax deductions
hr1040-114,Income tax rates
hr1040-114,Legislative rules and procedure
hr1040-114,Tax reform and tax simplification
hr1040-114,Taxation
hr1040-114,Transfer and inheritance taxes
hr1041-114,Border security and unlawful immigration
hr1041-114,Census and government statistics
hr1041-114,Crime and law enforcement
hr1041-114,Criminal justice information and records
hr1041-114,Government information and archives
hr1041-114,Law enforcement administration and funding
hr1041-114,State and local government operations
hr1042-114,Academic performance and assessments
hr1042-114,Child health
hr1042-114,Education
hr1042-114,Education of the disadvantaged
hr1042-114,Education programs funding
hr1042-114,Elementary and secondary education
hr1042-114,Family relationships
hr1042-114,Indian social and development programs
hr1042-114,Language arts
hr1042-114,Minority education
hr1042-114,Nutrition and diet
hr1042-114,Physical fitness and lifestyle
hr1042-114,School administration
hr1042-114,Science and engineering education
hr1042-114,Special education
hr1043-114,Accidents
hr1043-114,Advisory bodies
hr1043-114,Congressional oversight
hr1043-114,Emergency management
hr1043-114,Emergency planning and evacuation
hr1043-114,First responders and emergency personnel
hr1043-114,Hazardous wastes and toxic substances
hr1043-114,Public-private cooperation
hr1043-114,Railroads
hr1043-114,Rural conditions and development
hr1043-114,Transportation safety and security
hr1044-114,Air quality
hr1044-114,Environmental protection
hr1044-114,Environmental regulatory procedures
hr1044-114,Urban and suburban affairs and development
hr1045-114,"Criminal investigation, prosecution, interrogation"
hr1045-114,District of Columbia
hr1045-114,Government operations and politics
hr1045-114,Lawyers and legal services
hr1045-114,State and local government operations
hr1046-114,Commuting
hr1046-114,Employee benefits and pensions
hr1046-114,Income tax exclusion
hr1046-114,Public transit
hr1046-114,Taxation
hr1046-114,Transportation costs
hr1047-114,Homelessness and emergency shelter
hr1047-114,Housing and community development
hr1047-114,Housing and community development funding
hr1047-114,Public housing
hr1048-114,Accounting and auditing
hr1048-114,Appropriations
hr1048-114,Budget deficits and national debt
hr1048-114,Finance and financial sector
hr1048-114,Financial services and investments
hr1048-114,Securities
hr1049-114,Appropriations
hr1049-114,Budget deficits and national debt
hr1049-114,Finance and financial sector
hr1049-114,Financial crises and stabilization
hr1049-114,Financial services and investments
hr1049-114,Securities
hr105-114,Competition and antitrust
hr105-114,Contracts and agency
hr105-114,Health
hr105-114,Health care costs and insurance
hr105-114,Health personnel
hr1050-114,Accounting and auditing
hr1050-114,Appropriations
hr1050-114,Budget deficits and national debt
hr1050-114,Corporate finance and management
hr1050-114,Finance and financial sector
hr1050-114,Financial services and investments
hr1051-114,Aviation and airports
hr1051-114,California
hr1051-114,Customs enforcement
hr1051-114,Foreign trade and international finance
hr1052-114,Lakes and rivers
hr1052-114,Oregon
hr1052-114,Public lands and natural resources
hr1052-114,"Wilderness and natural areas, wildlife refuges, wild rivers, habitats"
hr1053-114,Administrative law and regulatory procedures
hr1053-114,"Bank accounts, deposits, capital"
hr1053-114,Banking and financial institutions regulation
hr1053-114,Business records
hr1053-114,Child safety and welfare
hr1053-114,Civil actions and liability
hr1053-114,Commerce
hr1053-114,Computer security and identity theft
hr1053-114,Consumer affairs
hr1053-114,Consumer credit
hr1053-114,Contracts and agency
hr1053-114,"Criminal investigation, prosecution, interrogation"
hr1053-114,Federal Trade Commission (FTC)
hr1053-114,Fraud offenses and financial crimes
hr1053-114,Government information and archives
hr1053-114,Health information and medical records
hr1053-114,Internet and video services
hr1053-114,Marketing and advertising
hr1053-114,Religion
hr1053-114,Right of privacy
hr1053-114,Small business
hr1053-114,State and local government operations
hr1053-114,Telephone and wireless communication
hr1054-114,Congress
hr1054-114,"Government employee pay, benefits, personnel management"
hr1054-114,"Government ethics and transparency, public corruption"
hr1054-114,Members of Congress
hr1055-114,Centers for Disease Control and Prevention (CDC)
hr1055-114,Child health
hr1055-114,Congressional oversight
hr1055-114,Correctional facilities and imprisonment
hr1055-114,Dental care
hr1055-114,Department of Health and Human Services
hr1055-114,Education programs funding
hr1055-114,Elementary and secondary education
hr1055-114,Emergency medical services and trauma care
hr1055-114,Government information and archives
hr1055-114,Health
hr1055-114,Health care costs and insurance
hr1055-114,Health care coverage and access
hr1055-114,Health facilities and institutions
hr1055-114,Health information and medical records
hr1055-114,Health personnel
hr1055-114,Health programs administration and funding
hr1055-114,Health promotion and preventive care
hr1055-114,"Health technology, devices, supplies"
hr1055-114,Indian social and development programs
hr1055-114,Medicaid
hr1055-114,Medical education
hr1055-114,Medical research
hr1055-114,Medical tests and diagnostic methods
hr1055-114,Medicare
hr1055-114,Military medicine
hr1055-114,Minority health
hr1055-114,National Guard and reserves
hr1055-114,National Institutes of Health (NIH)
hr1055-114,Research administration and funding
hr1055-114,Rural conditions and development
hr1055-114,Student aid and college costs
hr1055-114,Veterans' medical care
hr1056-114,Arms control and nonproliferation
hr1056-114,Crime and law enforcement
hr1056-114,Crimes against animals and natural resources
hr1056-114,Criminal procedure and sentencing
hr1056-114,Firearms and explosives
hr1056-114,Hazardous wastes and toxic substances
hr1056-114,Infectious and parasitic diseases
hr1056-114,International law and treaties
hr1056-114,Jurisdiction and venue
hr1056-114,"Marine and coastal resources, fisheries"
hr1056-114,Marine and inland water transportation
hr1056-114,Marine pollution
hr1056-114,"Navigation, waterways, harbors"
hr1056-114,Nuclear weapons
hr1056-114,Oil and gas
hr1056-114,Pollution liability
hr1056-114,Radioactive wastes and releases
hr1056-114,Terrorism
hr1056-114,Transportation safety and security
hr1057-114,Commerce
hr1057-114,Intellectual property
hr1057-114,Manufacturing
hr1057-114,Marketing and advertising
hr1057-114,Motor vehicles
hr1057-114,Trade restrictions
hr1058-114,Administrative remedies
hr1058-114,Department of the Treasury
hr1058-114,"Government employee pay, benefits, personnel management"
hr1058-114,"Government ethics and transparency, public corruption"
hr1058-114,Internal Revenue Service (IRS)
hr1058-114,Lawyers and legal services
hr1058-114,Right of privacy
hr1058-114,"Tax administration and collection, taxpayers"
hr1058-114,Taxation
hr1059-114,Congressional oversight
hr1059-114,Political movements and philosophies
hr1059-114,Religion
hr1059-114,"Tax administration and collection, taxpayers"
hr1059-114,Taxation
hr106-114,Constitution and constitutional amendments
hr106-114,Education
hr106-114,Education programs funding
hr106-114,Elementary and secondary education
hr106-114,Intergovernmental relations
hr106-114,State and local finance
hr106-114,State and local government operations
hr1060-114,California
hr1060-114,Dams and canals
hr1060-114,Electric power generation and transmission
hr1060-114,Endangered and threatened species
hr1060-114,"Environmental assessment, monitoring, research"
hr1060-114,Government information and archives
hr1060-114,Government studies and investigations
hr1060-114,Lakes and rivers
hr1060-114,Water resources development
hr1060-114,Water resources funding
hr1060-114,Water storage
hr1060-114,Water use and supply
hr1061-114,Agriculture and food
hr1061-114,Aquaculture
hr1061-114,Congressional oversight
hr1061-114,Education
hr1061-114,Education programs funding
hr1061-114,Elementary and secondary education
hr1061-114,Food assistance and relief
hr1061-114,Higher education
hr1061-114,Indian social and development programs
hr1061-114,Nutrition and diet
hr1061-114,Public contracts and procurement
hr1061-114,Seafood
hr1062-114,Administrative law and regulatory procedures
hr1062-114,Administrative remedies
hr1062-114,Aviation and airports
hr1062-114,Civil actions and liability
hr1062-114,Congressional oversight
hr1062-114,Department of Transportation
hr1062-114,Government information and archives
hr1062-114,Government liability
hr1062-114,Government studies and investigations
hr1062-114,Judicial review and appeals
hr1062-114,Licensing and registrations
hr1062-114,Medical tests and diagnostic methods
hr1062-114,"Social work, volunteer service, charitable organizations"
hr1062-114,Transportation and public works
hr1062-114,Transportation employees
hr1062-114,Transportation safety and security
hr1062-114,Worker safety and health
hr1063-114,Immigration
hr1063-114,Tariffs
hr1064-114,Education
hr1064-114,Higher education
hr1064-114,Student aid and college costs
hr1065-114,Crime and law enforcement
hr1065-114,Disability and health-based discrimination
hr1065-114,Disability and paralysis
hr1065-114,"Government employee pay, benefits, personnel management"
hr1065-114,Law enforcement administration and funding
hr1065-114,Law enforcement officers
hr1065-114,Mental health
hr1065-114,Racial and ethnic relations
hr1066-114,Administrative law and regulatory procedures
hr1066-114,Administrative remedies
hr1066-114,Department of Health and Human Services
hr1066-114,"Drug safety, medical device, and laboratory regulation"
hr1066-114,Food and Drug Administration (FDA)
hr1066-114,Health
hr1066-114,"Health technology, devices, supplies"
hr1066-114,Medical research
hr1067-114,Armed forces and national security
hr1067-114,"Government employee pay, benefits, personnel management"
hr1067-114,Judges
hr1067-114,Judicial review and appeals
hr1067-114,"Life, casualty, property insurance"
hr1067-114,Specialized courts
hr1067-114,Veterans' pensions and compensation
hr1068-114,Federal-Indian relations
hr1068-114,Indian social and development programs
hr1068-114,Transportation and public works
hr1068-114,Transportation programs funding
hr1069-114,Fraud offenses and financial crimes
hr1069-114,"Government ethics and transparency, public corruption"
hr1069-114,Government information and archives
hr1069-114,Government operations and politics
hr1069-114,Libraries and archives
hr1069-114,Presidential administrations
hr1069-114,"Presidents and presidential powers, Vice Presidents"
hr107-114,Crime and law enforcement
hr107-114,"Government ethics and transparency, public corruption"
hr107-114,House of Representatives
hr107-114,Members of Congress
hr107-114,Public participation and lobbying
hr1070-114,Academic performance and assessments
hr1070-114,Education
hr1070-114,Education of the disadvantaged
hr1070-114,Education programs funding
hr1070-114,Elementary and secondary education
hr1070-114,Preschool education
hr1070-114,School administration
hr1070-114,"Teaching, teachers, curricula"
hr1071-114,Education
hr1071-114,Education of the disadvantaged
hr1071-114,Education programs funding
hr1071-114,Elementary and secondary education
hr1071-114,Executive agency funding and structure
hr1071-114,Government information and archives
hr1071-114,Government studies and investigations
hr1072-114,Advisory bodies
hr1072-114,Appropriations
hr1072-114,Budget deficits and national debt
hr1072-114,Congressional oversight
hr1072-114,Department of Agriculture
hr1072-114,Department of Education
hr1072-114,Department of Health and Human Services
hr1072-114,Department of Housing and Urban Development
hr1072-114,Department of the Interior
hr1072-114,Executive agency funding and structure
hr1072-114,"Government employee pay, benefits, personnel management"
hr1072-114,Government information and archives
hr1072-114,Government operations and politics
hr1072-114,Government studies and investigations
hr1072-114,Legislative rules and procedure
hr1072-114,Performance measurement
hr1072-114,Public participation and lobbying
hr1073-114,Astronomy
hr1073-114,Congressional oversight
hr1073-114,Electric power generation and transmission
hr1073-114,Emergency management
hr1073-114,Emergency planning and evacuation
hr1073-114,Government studies and investigations
hr1073-114,Homeland security
hr1073-114,Natural disasters
hr1073-114,Research and development
hr1073-114,Terrorism
hr1074-114,Administrative law and regulatory procedures
hr1074-114,Alaska
hr1074-114,Aviation and airports
hr1074-114,Department of Transportation
hr1074-114,Hawaii
hr1074-114,Transportation and public works
hr1074-114,Transportation safety and security
hr1074-114,User charges and fees
hr1075-114,Arizona
hr1075-114,Border security and unlawful immigration
hr1075-114,Congressional tributes
hr1075-114,Customs enforcement
hr1075-114,"Government buildings, facilities, and property"
hr1075-114,Government operations and politics
hr1076-114,Administrative remedies
hr1076-114,Civil actions and liability
hr1076-114,Crime and law enforcement
hr1076-114,Firearms and explosives
hr1076-114,Judicial review and appeals
hr1076-114,Licensing and registrations
hr1076-114,Terrorism
hr1077-114,Arizona
hr1077-114,Historical and cultural resources
hr1077-114,Intergovernmental relations
hr1077-114,Land transfers
hr1077-114,Monuments and memorials
hr1077-114,Public lands and natural resources
hr1077-114,State and local government operations
hr1077-114,Water use and supply
hr1078-114,Appropriations
hr1078-114,Budget process
hr1078-114,Department of Health and Human Services
hr1078-114,Executive agency funding and structure
hr1078-114,Food and Drug Administration (FDA)
hr1078-114,Health
hr1078-114,User charges and fees
hr1079-114,Education
hr1079-114,Education programs funding
hr1079-114,Educational guidance
hr1079-114,Elementary and secondary education
hr1079-114,Employment and training programs
hr1079-114,Higher education
hr1079-114,"Teaching, teachers, curricula"
hr1079-114,Vocational and technical education
hr108-114,Congress
hr108-114,"Government employee pay, benefits, personnel management"
hr108-114,Members of Congress
hr1080-114,Education
hr1080-114,Education programs funding
hr1080-114,Elementary and secondary education
hr1080-114,Intergovernmental relations
hr1080-114,Special education
hr1080-114,State and local finance
hr1081-114,Academic performance and assessments
hr1081-114,Advisory bodies
hr1081-114,Education
hr1081-114,Education of the disadvantaged
hr1081-114,Education programs funding
hr1081-114,Elementary and secondary education
hr1081-114,Higher education
hr1081-114,Indian social and development programs
hr1081-114,Minority education
hr1081-114,Performance measurement
hr1081-114,Rural conditions and development
hr1081-114,School administration
hr1081-114,Science and engineering education
hr1081-114,"Teaching, teachers, curricula"
hr1082-114,Academic performance and assessments
hr1082-114,Alaska Natives and Hawaiians
hr1082-114,Building construction
hr1082-114,Child health
hr1082-114,Department of Education
hr1082-114,Department of the Interior
hr1082-114,Education programs funding
hr1082-114,Educational facilities and institutions
hr1082-114,Elementary and secondary education
hr1082-114,Executive agency funding and structure
hr1082-114,Foreign language and bilingual programs
hr1082-114,Health programs administration and funding
hr1082-114,Health promotion and preventive care
hr1082-114,Higher education
hr1082-114,Indian social and development programs
hr1082-114,Licensing and registrations
hr1082-114,Minority education
hr1082-114,Native Americans
hr1082-114,Nutrition and diet
hr1082-114,Preschool education
hr1082-114,School administration
hr1082-114,Science and engineering education
hr1082-114,Student aid and college costs
hr1082-114,"Teaching, teachers, curricula"
hr1082-114,Vocational and technical education
hr1083-114,Fraud offenses and financial crimes
hr1083-114,Health
hr1083-114,Health personnel
hr1083-114,Medicaid
hr1083-114,Medical ethics
hr1083-114,Medicare
hr1084-114,Aviation and airports
hr1084-114,Small towns
hr1084-114,Transportation and public works
hr1084-114,Transportation programs funding
hr1084-114,User charges and fees
hr1085-114,Appropriations
hr1085-114,Government trust funds
hr1085-114,Health
hr1085-114,Health programs administration and funding
hr1085-114,Health promotion and preventive care
hr1086-114,Administrative law and regulatory procedures
hr1086-114,Administrative remedies
hr1086-114,Aviation and airports
hr1086-114,Department of Transportation
hr1086-114,Licensing and registrations
hr1086-114,Medical tests and diagnostic methods
hr1086-114,Transportation and public works
hr1086-114,Transportation employees
hr1086-114,Transportation safety and security
hr1086-114,Worker safety and health
hr1087-114,Sales and excise taxes
hr1087-114,State and local taxation
hr1087-114,"Tax administration and collection, taxpayers"
hr1087-114,Taxation
hr1087-114,Telephone and wireless communication
hr1087-114,User charges and fees
hr1088-114,Administrative law and regulatory procedures
hr1088-114,Administrative remedies
hr1088-114,Agricultural trade
hr1088-114,Department of Commerce
hr1088-114,Department of Labor
hr1088-114,Department of the Treasury
